tinh,huyen,xa,diaban,hoso,m5b2c1,m5b2c1a,m5b2c2,m5b2c3
101,3,11.0,9,15,319.0,,120.0,0.0
101,3,11.0,9,15,311.0,,60.0,0.0
101,3,11.0,9,15,314.0,,100.0,0.0
101,3,11.0,9,15,309.0,,100.0,0.0
101,3,11.0,9,15,328.0,,2500.0,0.0
101,3,11.0,9,15,318.0,,35.0,0.0
101,3,11.0,9,15,308.0,,350.0,0.0
101,3,11.0,9,15,333.0,,200.0,0.0
101,3,11.0,9,15,325.0,,2400.0,0.0
101,3,11.0,9,15,317.0,,150.0,0.0
101,3,11.0,9,15,306.0,,80.0,0.0
101,3,11.0,9,15,303.0,,250.0,0.0
101,3,11.0,9,15,310.0,,70.0,0.0
101,3,11.0,9,15,304.0,,120.0,0.0
101,3,11.0,9,15,321.0,,250.0,0.0
101,3,11.0,9,15,312.0,,40.0,0.0
101,3,11.0,9,15,330.0,,850.0,0.0
101,3,11.0,9,15,313.0,,120.0,0.0
101,3,11.0,9,15,302.0,,1600.0,0.0
101,3,11.0,9,19,312.0,,300.0,0.0
101,3,11.0,9,19,328.0,,2500.0,0.0
101,3,11.0,9,19,303.0,,300.0,0.0
101,3,11.0,9,19,318.0,,40.0,0.0
101,3,11.0,9,19,311.0,,250.0,0.0
101,3,11.0,9,19,317.0,,150.0,0.0
101,3,11.0,9,19,308.0,,400.0,0.0
101,3,11.0,9,19,321.0,,350.0,0.0
101,3,11.0,9,19,309.0,,120.0,0.0
101,3,11.0,9,19,310.0,,60.0,0.0
101,3,11.0,9,19,333.0,,450.0,0.0
101,3,11.0,9,19,306.0,,200.0,0.0
101,3,11.0,9,19,305.0,,270.0,0.0
101,3,11.0,9,19,302.0,,2500.0,0.0
101,3,11.0,9,19,319.0,,120.0,0.0
101,3,11.0,9,19,313.0,,120.0,0.0
101,3,11.0,9,19,325.0,,3500.0,0.0
101,3,11.0,9,19,314.0,,100.0,0.0
101,3,11.0,9,19,304.0,,180.0,0.0
101,3,11.0,9,20,306.0,,100.0,0.0
101,3,11.0,9,20,304.0,,80.0,0.0
101,3,11.0,9,20,321.0,,280.0,0.0
101,3,11.0,9,20,308.0,,250.0,0.0
101,3,11.0,9,20,302.0,,1500.0,0.0
101,3,11.0,9,20,309.0,,70.0,0.0
101,3,11.0,9,20,317.0,,90.0,0.0
101,3,11.0,9,20,313.0,,60.0,0.0
101,3,11.0,9,20,311.0,,150.0,0.0
101,3,11.0,9,20,320.0,,100.0,0.0
101,3,11.0,9,20,303.0,,120.0,0.0
101,3,11.0,9,20,318.0,,120.0,0.0
101,3,11.0,9,20,305.0,,220.0,0.0
101,3,11.0,9,20,312.0,,130.0,0.0
101,3,11.0,9,20,310.0,,40.0,0.0
101,3,13.0,8,13,311.0,,150.0,0.0
101,3,13.0,8,13,319.0,,250.0,0.0
101,3,13.0,8,13,317.0,,70.0,0.0
101,3,13.0,8,13,306.0,,60.0,0.0
101,3,13.0,8,13,321.0,,360.0,0.0
101,3,13.0,8,13,304.0,,30.0,0.0
101,3,13.0,8,13,318.0,,100.0,0.0
101,3,13.0,8,13,325.0,,1300.0,0.0
101,3,13.0,8,13,320.0,,150.0,0.0
101,3,13.0,8,13,322.0,,140.0,0.0
101,3,13.0,8,13,399.0,,1300.0,0.0
101,3,13.0,8,13,305.0,,45.0,0.0
101,3,13.0,8,13,301.0,,150.0,0.0
101,3,13.0,8,13,308.0,,350.0,0.0
101,3,13.0,8,13,314.0,,30.0,0.0
101,3,13.0,8,13,310.0,,60.0,0.0
101,3,13.0,8,13,309.0,,50.0,0.0
101,3,13.0,8,13,302.0,,1800.0,0.0
101,3,13.0,8,13,330.0,,200.0,0.0
101,3,13.0,8,13,307.0,,200.0,0.0
101,3,13.0,8,13,312.0,,250.0,0.0
101,3,13.0,8,14,308.0,,620.0,0.0
101,3,13.0,8,14,322.0,,320.0,0.0
101,3,13.0,8,14,305.0,,200.0,0.0
101,3,13.0,8,14,303.0,,320.0,0.0
101,3,13.0,8,14,324.0,,520.0,0.0
101,3,13.0,8,14,399.0,,1800.0,0.0
101,3,13.0,8,14,312.0,,260.0,0.0
101,3,13.0,8,14,321.0,,210.0,0.0
101,3,13.0,8,14,320.0,,150.0,0.0
101,3,13.0,8,14,317.0,,60.0,0.0
101,3,13.0,8,14,306.0,,180.0,0.0
101,3,13.0,8,14,323.0,,120.0,0.0
101,3,13.0,8,14,319.0,,150.0,0.0
101,3,13.0,8,14,315.0,,70.0,0.0
101,3,13.0,8,14,309.0,,120.0,0.0
101,3,13.0,8,14,325.0,,1800.0,0.0
101,3,13.0,8,14,330.0,,1800.0,0.0
101,3,13.0,8,14,311.0,,240.0,0.0
101,3,13.0,8,14,301.0,,250.0,0.0
101,3,13.0,8,14,302.0,,6300.0,0.0
101,3,13.0,8,14,328.0,,1500.0,0.0
101,3,13.0,8,14,310.0,,80.0,0.0
101,3,13.0,8,14,304.0,,150.0,0.0
101,3,13.0,8,14,331.0,,100.0,0.0
101,3,13.0,8,14,307.0,,200.0,0.0
101,3,13.0,8,14,326.0,,600.0,0.0
101,3,13.0,8,15,304.0,,150.0,0.0
101,3,13.0,8,15,302.0,,5200.0,0.0
101,3,13.0,8,15,321.0,,150.0,0.0
101,3,13.0,8,15,325.0,,1800.0,0.0
101,3,13.0,8,15,312.0,,250.0,0.0
101,3,13.0,8,15,303.0,,350.0,0.0
101,3,13.0,8,15,309.0,,120.0,0.0
101,3,13.0,8,15,399.0,,1800.0,0.0
101,3,13.0,8,15,319.0,,200.0,0.0
101,3,13.0,8,15,323.0,,100.0,0.0
