tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,5,17.0,18,19,1,120.0,2.0,1980.0,,1.0,2.0,,,,,1200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,2,,1,1320.0,1,1,1,3600.0,1,1,180.0,,5100,1,1.0,12.0,60.0
101,5,25.0,12,13,1,30.0,2.0,1988.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,360.0,1,1,1,720.0,1,1,96.0,,1176,2,,,
101,5,25.0,12,14,1,80.0,2.0,1980.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,720.0,1,1,1,4200.0,1,1,144.0,,5064,2,,,
101,5,25.0,12,15,1,25.0,2.0,1982.0,,1.0,2.0,,,,,350000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,2640.0,1,1,108.0,,3348,2,,,
101,5,33.0,12,14,1,24.0,2.0,1988.0,,1.0,2.0,,,,,300000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,564.0,1,1,1,1740.0,1,1,96.0,,2400,1,1.0,12.0,600.0
101,5,33.0,12,15,1,60.0,2.0,1994.0,,1.0,2.0,,,,,450000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,2600.0,1,1,96.0,,3296,1,2.0,,
101,5,33.0,12,24,1,65.0,2.0,1995.0,,1.0,2.0,,,,,600000.0,2.0,,,,,,1.0,7.0,1991.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,960.0,1,1,1,2930.0,1,1,120.0,,4010,2,,,
101,5,35.0,16,14,1,35.0,2.0,1963.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,780.0,1,1,1,2400.0,1,1,144.0,,3324,1,2.0,,
101,5,35.0,16,15,1,78.0,2.0,1969.0,,1.0,2.0,,,,,2000000.0,1.0,1.0,11089.0,12.0,12.0,500000.0,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,1.0,1,240.0,1,1,1,2400.0,1,1,144.0,,2784,1,2.0,,
101,5,35.0,16,19,1,23.0,2.0,1991.0,,1.0,2.0,,,,,1000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,4500.0,1,1,108.0,,5208,2,,,
