tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
607,1,25.0,6,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,15,1,2,1,1,1,,91.0,46.0,8.0,20.0,8.0,10.0,2.0,,,,,,,,0,1.0,92.0,1.0,4.0,28.0,8.0,11.0,1.0,,,,,,,0,2.0,,,1,1.0
607,1,25.0,6,15,2,2,1,2,1,,61.0,1.0,11.0,28.0,8.0,10.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,25.0,6,15,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,15,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,27.0,16,14,1,2,1,2,1,,92.0,1.0,11.0,28.0,8.0,30.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,27.0,16,14,2,2,1,2,1,,92.0,1.0,3.0,10.0,4.0,2.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,1,27.0,16,15,1,1,1,2,1,,92.0,1.0,12.0,12.0,8.0,15.0,2.0,,,,,,,,0,1.0,92.0,1.0,12.0,10.0,8.0,12.0,3.0,6847.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,1,1.0
607,1,27.0,16,15,2,1,1,2,1,,92.0,1.0,4.0,28.0,9.0,1.0,7.0,,6391.0,0.0,0.0,0.0,0.0,0.0,0,1.0,92.0,1.0,3.0,26.0,8.0,15.0,2.0,,,,,,,0,2.0,,,1,2.0
607,1,27.0,16,15,3,2,1,2,1,,92.0,1.0,4.0,20.0,8.0,1.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,1,27.0,16,15,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,27.0,16,19,1,2,1,2,1,,92.0,1.0,9.0,20.0,6.0,40.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,1,27.0,16,19,2,2,2,2,2,5.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,27.0,16,19,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,3.0,27,13,1,1,2,2,1,,15.0,84.0,12.0,22.0,8.0,5.0,4.0,1.0,19754.0,588.0,0.0,0.0,0.0,235.0,823,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,3.0,27,13,2,1,2,2,1,,74.0,14.0,8.0,26.0,8.0,5.0,7.0,,11288.0,1764.0,0.0,3292.0,0.0,4233.0,9289,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,3.0,27,14,1,1,2,2,1,,19.0,64.0,12.0,24.0,4.0,5.0,5.0,,31042.0,4703.0,0.0,0.0,0.0,2940.0,7643,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,3.0,27,14,2,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3.0
607,3,3.0,27,14,3,2,1,1,1,,61.0,1.0,6.0,15.0,4.0,1.0,2.0,,,,,,,,0,1.0,73.0,18.0,3.0,25.0,6.0,1.0,2.0,,,,,,,0,2.0,,,1,1.0
607,3,3.0,27,14,4,2,2,1,1,,73.0,18.0,3.0,25.0,6.0,1.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
