tinh,huyen,xa,diaban,hoso,m6ama,m6ama1,m6ac3,m6ac4a,m6ac4b,m6ac5,m6ac6,m6ac7
101,9,11.0,35,20,,,,,,,,
101,9,15.0,15,13,,,,,,,,
101,9,15.0,15,15,,,,,,,,
101,9,15.0,15,19,,,,,,,,
101,9,19.0,26,13,,,,,,,,
101,9,19.0,26,14,,,,,,,,
101,9,19.0,26,15,,,,,,,,
101,9,23.0,11,14,,,,,,,,
101,9,23.0,11,15,,,,,,,,
101,9,23.0,11,24,,,,,,,,
101,9,31.0,10,13,,,,,,,,
101,9,31.0,10,14,,,,,,,,
101,9,31.0,10,15,,,,,,,,
101,9,33.0,10,19,,,,,,,,
101,9,33.0,10,20,20.0,,1.0,0.0,2006.0,17000.0,10000.0,100.0
101,9,33.0,10,24,,,,,,,,
101,9,35.0,24,13,,,,,,,,
101,9,35.0,24,14,,,,,,,,
101,9,35.0,24,20,,,,,,,,
101,9,39.0,17,19,,,,,,,,
101,9,39.0,17,20,,,,,,,,
101,9,39.0,17,24,,,,,,,,
101,11,1.0,10,13,,,,,,,,
101,11,1.0,10,14,,,,,,,,
101,11,1.0,10,15,,,,,,,,
101,11,3.0,17,13,,,,,,,,
101,11,3.0,17,15,,,,,,,,
101,11,3.0,17,24,,,,,,,,
101,11,5.0,24,14,,,,,,,,
101,11,5.0,24,15,,,,,,,,
101,11,5.0,24,19,,,,,,,,
101,11,17.0,33,13,36.0,,1.0,0.0,2004.0,1700.0,1000.0,100.0
101,11,17.0,33,14,,,,,,,,
101,11,17.0,33,15,,,,,,,,
101,11,21.0,9,13,,,,,,,,
101,11,21.0,9,14,,,,,,,,
101,11,21.0,9,15,20.0,,1.0,0.0,2002.0,24000.0,9600.0,100.0
101,13,1.0,13,13,,,,,,,,
101,13,1.0,13,14,,,,,,,,
101,13,1.0,13,20,,,,,,,,
101,13,5.0,19,13,,,,,,,,
101,13,5.0,19,15,,,,,,,,
101,13,5.0,19,20,,,,,,,,
101,13,7.0,15,14,,,,,,,,
101,13,7.0,15,19,,,,,,,,
101,13,7.0,15,24,,,,,,,,
101,13,13.0,10,13,35.0,,1.0,0.0,1988.0,7000.0,500.0,100.0
101,13,13.0,10,13,14.0,,1.0,0.0,1988.0,-1.0,-1.0,100.0
101,13,13.0,10,14,,,,,,,,
101,13,13.0,10,15,20.0,,1.0,0.0,2000.0,25000.0,13000.0,100.0
101,13,13.0,10,15,34.0,,1.0,0.0,2003.0,3100.0,1200.0,100.0
101,13,13.0,10,15,46.0,,1.0,0.0,2004.0,12000.0,7000.0,100.0
101,15,3.0,3,13,,,,,,,,
101,15,3.0,3,14,,,,,,,,
101,15,3.0,3,15,,,,,,,,
101,15,9.0,11,14,11.0,,1.0,0.0,2002.0,640.0,150.0,100.0
101,15,9.0,11,15,5.0,,1.0,0.0,2005.0,4500.0,5600.0,100.0
101,15,9.0,11,15,8.0,,1.0,0.0,1998.0,3500.0,200.0,100.0
101,15,9.0,11,15,8.0,,1.0,0.0,2002.0,4700.0,500.0,100.0
101,15,9.0,11,15,8.0,,1.0,0.0,2002.0,3200.0,300.0,100.0
101,15,9.0,11,15,11.0,,1.0,0.0,1999.0,580.0,100.0,100.0
101,15,9.0,11,15,5.0,,1.0,0.0,2006.0,3800.0,6900.0,100.0
101,15,9.0,11,15,22.0,,1.0,0.0,1999.0,550.0,50.0,100.0
101,15,9.0,11,15,6.0,,1.0,0.0,2006.0,3200.0,3400.0,100.0
101,15,9.0,11,20,22.0,,1.0,0.0,1998.0,590.0,90.0,100.0
101,15,9.0,11,20,11.0,,1.0,0.0,2000.0,750.0,150.0,100.0
101,15,9.0,11,20,8.0,,1.0,0.0,1999.0,6700.0,500.0,100.0
101,15,9.0,11,20,14.0,,1.0,0.0,2001.0,12700.0,3500.0,100.0
101,15,9.0,11,20,5.0,,1.0,0.0,2003.0,3400.0,5600.0,100.0
101,15,9.0,11,20,5.0,,1.0,0.0,2005.0,3200.0,5300.0,100.0
101,15,19.0,13,13,,,,,,,,
101,15,19.0,13,19,56.0,,1.0,0.0,2005.0,1240.0,1000.0,100.0
101,15,19.0,13,20,,,,,,,,
101,15,33.0,15,14,8.0,,1.0,0.0,2002.0,20000.0,10000.0,100.0
101,15,33.0,15,14,11.0,,1.0,0.0,2002.0,750.0,500.0,100.0
101,15,33.0,15,14,5.0,,1.0,0.0,2002.0,3000.0,5000.0,100.0
101,15,33.0,15,14,6.0,,1.0,0.0,2002.0,300.0,3000.0,100.0
101,15,33.0,15,14,6.0,,1.0,9.0,2007.0,250.0,2000.0,100.0
101,15,33.0,15,20,8.0,,1.0,0.0,2006.0,10000.0,5000.0,100.0
101,15,33.0,15,24,8.0,,1.0,0.0,1996.0,5000.0,1000.0,100.0
101,15,39.0,12,13,,,,,,,,
101,15,39.0,12,14,8.0,,1.0,0.0,1998.0,7300.0,2300.0,100.0
101,15,39.0,12,14,5.0,,1.0,0.0,2006.0,3500.0,5500.0,100.0
101,15,39.0,12,14,11.0,,1.0,0.0,2000.0,7500.0,200.0,100.0
101,15,39.0,12,15,19.0,,1.0,1.0,2007.0,3000.0,2500.0,100.0
101,15,39.0,12,15,17.0,,1.0,1.0,2007.0,11000.0,9800.0,100.0
101,15,39.0,12,15,11.0,,1.0,0.0,1998.0,680.0,80.0,100.0
101,15,51.0,13,13,8.0,,1.0,0.0,1999.0,5000.0,2000.0,100.0
101,15,51.0,13,14,5.0,,1.0,0.0,2004.0,3000.0,5000.0,100.0
101,15,51.0,13,14,6.0,,1.0,0.0,1999.0,500.0,2000.0,100.0
101,15,51.0,13,14,8.0,,1.0,0.0,1999.0,5000.0,1000.0,100.0
101,15,51.0,13,15,,,,,,,,
101,17,13.0,2,13,22.0,,1.0,0.0,2006.0,900.0,500.0,100.0
101,17,13.0,2,14,21.0,,1.0,0.0,2001.0,500.0,200.0,100.0
101,17,13.0,2,14,8.0,,1.0,0.0,2001.0,4000.0,2000.0,100.0
101,17,13.0,2,14,5.0,,1.0,0.0,2003.0,6000.0,5000.0,100.0
101,17,13.0,2,14,22.0,,1.0,0.0,2002.0,800.0,300.0,100.0
101,17,13.0,2,14,20.0,,1.0,0.0,2003.0,5000.0,4000.0,100.0
101,17,13.0,2,14,6.0,,1.0,0.0,2006.0,1800.0,1000.0,100.0
101,17,13.0,2,15,22.0,,1.0,0.0,2004.0,600.0,300.0,100.0
101,17,13.0,2,15,8.0,,1.0,0.0,2000.0,6000.0,2000.0,100.0
101,17,27.0,7,13,16.0,,1.0,4.0,2008.0,370000.0,365000.0,100.0
101,17,27.0,7,13,14.0,,1.0,0.0,2004.0,20000.0,12000.0,100.0
101,17,27.0,7,14,14.0,,1.0,3.0,2008.0,12000.0,11000.0,100.0
101,17,27.0,7,14,48.0,,1.0,3.0,2008.0,3500.0,3100.0,100.0
101,17,27.0,7,15,,,,,,,,
101,17,31.0,13,13,,,,,,,,
101,17,31.0,13,14,6.0,,1.0,0.0,2006.0,3000.0,2400.0,100.0
101,17,31.0,13,14,8.0,,1.0,0.0,2005.0,7000.0,4900.0,100.0
101,17,31.0,13,15,36.0,,4.0,0.0,2004.0,15000.0,8000.0,100.0
101,17,31.0,13,15,28.0,,2.0,0.0,2003.0,10000.0,5000.0,100.0
101,17,31.0,13,15,5.0,,1.0,0.0,2003.0,10000.0,6000.0,100.0
101,17,31.0,13,15,22.0,,1.0,3.0,2008.0,6000.0,5800.0,100.0
101,17,31.0,13,15,13.0,,1.0,0.0,2000.0,50000.0,20000.0,100.0
101,17,31.0,13,15,8.0,,1.0,0.0,2000.0,8000.0,4000.0,100.0
101,17,33.0,15,13,,,,,,,,
101,17,33.0,15,14,,,,,,,,
101,17,33.0,15,15,,,,,,,,
101,17,35.0,16,13,22.0,,1.0,0.0,2002.0,800.0,200.0,100.0
101,17,35.0,16,13,8.0,,1.0,0.0,1998.0,15000.0,5000.0,100.0
101,17,35.0,16,13,51.0,,3.0,0.0,2003.0,1000.0,600.0,100.0
101,17,35.0,16,13,7.0,,1.0,7.0,2007.0,24000.0,6000.0,100.0
101,17,35.0,16,14,51.0,,5.0,0.0,2004.0,2000.0,1000.0,100.0
101,17,35.0,16,14,36.0,,2.0,0.0,2001.0,6000.0,2000.0,100.0
101,17,35.0,16,14,14.0,,1.0,0.0,2003.0,60000.0,40000.0,100.0
101,17,35.0,16,15,,,,,,,,
101,17,37.0,23,13,1.0,,1.0,0.0,2004.0,1500.0,1100.0,100.0
101,17,37.0,23,14,,,,,,,,
101,17,37.0,23,15,8.0,,1.0,0.0,1998.0,20000.0,5000.0,100.0
101,17,37.0,23,15,13.0,,1.0,0.0,1998.0,15000.0,3600.0,100.0
101,17,37.0,23,15,35.0,,1.0,0.0,2003.0,1500.0,1000.0,100.0
101,17,39.0,9,13,,,,,,,,
101,17,39.0,9,14,20.0,,1.0,0.0,2005.0,15000.0,11500.0,100.0
101,17,39.0,9,15,,,,,,,,
101,19,5.0,18,13,,,,,,,,
101,19,5.0,18,14,,,,,,,,
101,19,5.0,18,15,,,,,,,,
101,19,17.0,20,13,14.0,,1.0,0.0,2002.0,30000.0,21000.0,100.0
101,19,17.0,20,13,34.0,,1.0,0.0,2006.0,4500.0,2500.0,100.0
101,19,17.0,20,14,,,,,,,,
101,19,17.0,20,15,56.0,,1.0,4.0,2008.0,3000.0,3000.0,100.0
101,19,17.0,20,15,35.0,,1.0,0.0,1998.0,3500.0,1500.0,100.0
101,19,55.0,8,14,,,,,,,,
101,19,55.0,8,15,,,,,,,,
101,19,55.0,8,19,,,,,,,,
101,19,67.0,13,13,,,,,,,,
101,19,67.0,13,14,,,,,,,,
101,19,67.0,13,15,,,,,,,,
101,21,5.0,18,13,1.0,,1.0,0.0,1996.0,20000.0,30000.0,100.0
101,21,5.0,18,13,20.0,,1.0,0.0,1994.0,28000.0,16000.0,100.0
101,21,5.0,18,13,29.0,,1.0,0.0,2001.0,3600.0,1600.0,100.0
101,21,5.0,18,13,12.0,,1.0,0.0,2000.0,4700.0,2000.0,100.0
101,21,5.0,18,13,12.0,,1.0,0.0,1992.0,1200.0,400.0,100.0
101,21,5.0,18,14,12.0,,1.0,0.0,2000.0,4500.0,4000.0,100.0
101,21,5.0,18,14,29.0,,1.0,0.0,2000.0,4200.0,3800.0,100.0
101,21,5.0,18,14,1.0,,1.0,0.0,1993.0,10000.0,20000.0,100.0
101,21,5.0,18,14,20.0,,1.0,0.0,2000.0,18000.0,16000.0,100.0
101,21,5.0,18,15,,,,,,,,
101,21,13.0,9,13,,,,,,,,
101,21,13.0,9,14,14.0,,1.0,0.0,2006.0,58000.0,40000.0,100.0
101,21,13.0,9,14,36.0,,1.0,0.0,2006.0,12000.0,8000.0,100.0
101,21,13.0,9,15,,,,,,,,
101,21,21.0,34,13,58.0,,6.0,0.0,2007.0,7000.0,4000.0,100.0
101,21,21.0,34,14,,,,,,,,
101,21,21.0,34,15,53.0,,1.0,0.0,2004.0,3000.0,1800.0,100.0
101,21,23.0,13,15,31.0,,1.0,0.0,2004.0,10000.0,4000.0,100.0
101,21,23.0,13,19,62.0,,1.0,0.0,2006.0,2000.0,1000.0,100.0
101,21,23.0,13,20,,,,,,,,
101,21,27.0,8,13,,,,,,,,
101,21,27.0,8,15,20.0,,1.0,0.0,2002.0,18600.0,15000.0,100.0
101,21,27.0,8,19,,,,,,,,
101,21,31.0,15,14,,,,,,,,
101,21,31.0,15,15,26.0,,1.0,0.0,2002.0,12000.0,5000.0,100.0
101,21,31.0,15,15,19.0,,1.0,0.0,2000.0,17000.0,13000.0,100.0
101,21,31.0,15,15,26.0,,1.0,0.0,1984.0,1200.0,400.0,100.0
101,21,31.0,15,15,26.0,,1.0,7.0,2008.0,7000.0,7000.0,100.0
101,21,31.0,15,15,26.0,,1.0,0.0,1996.0,14000.0,3000.0,100.0
101,21,31.0,15,15,13.0,,1.0,0.0,1990.0,5000.0,500.0,100.0
101,21,31.0,15,15,1.0,,1.0,0.0,2003.0,20000.0,15000.0,100.0
101,21,31.0,15,15,11.0,,1.0,0.0,1996.0,11000.0,3000.0,100.0
101,21,31.0,15,20,,,,,,,,
101,23,23.0,38,13,,,,,,,,
101,23,23.0,38,14,,,,,,,,
101,23,23.0,38,15,,,,,,,,
101,23,47.0,15,13,,,,,,,,
101,23,47.0,15,14,,,,,,,,
101,23,47.0,15,15,,,,,,,,
103,1,1.0,9,13,14.0,,1.0,0.0,2002.0,40000.0,25600.0,100.0
103,1,1.0,9,14,,,,,,,,
103,1,1.0,9,19,,,,,,,,
103,1,7.0,25,13,,,,,,,,
103,1,7.0,25,15,,,,,,,,
103,1,7.0,25,19,,,,,,,,
103,1,11.0,18,13,20.0,,1.0,0.0,2000.0,22000.0,15000.0,100.0
103,1,11.0,18,14,,,,,,,,
103,1,11.0,18,15,,,,,,,,
103,1,17.0,7,14,14.0,,1.0,0.0,1991.0,250000.0,750000.0,100.0
103,1,17.0,7,14,56.0,,1.0,0.0,2006.0,1000.0,500.0,100.0
103,1,17.0,7,14,58.0,,3.0,0.0,2006.0,3000.0,2640.0,100.0
103,1,17.0,7,14,62.0,,3.0,0.0,2000.0,700.0,476.0,100.0
103,1,17.0,7,14,41.0,,1.0,0.0,1998.0,3000.0,400.0,100.0
103,1,17.0,7,14,51.0,,3.0,0.0,2000.0,550.0,50.0,100.0
103,1,17.0,7,15,,,,,,,,
103,1,17.0,7,19,,,,,,,,
103,3,1.0,27,13,25.0,,1.0,0.0,1990.0,1000.0,300.0,100.0
103,3,1.0,27,14,,,,,,,,
103,3,1.0,27,15,,,,,,,,
103,3,5.0,7,15,,,,,,,,
103,3,5.0,7,19,,,,,,,,
103,3,5.0,7,20,,,,,,,,
103,3,9.0,20,13,,,,,,,,
103,3,9.0,20,14,,,,,,,,
103,3,9.0,20,15,,,,,,,,
103,3,13.0,15,13,56.0,,1.0,0.0,1995.0,2000.0,500.0,100.0
103,3,13.0,15,13,35.0,,1.0,0.0,2001.0,2500.0,1500.0,100.0
103,3,13.0,15,13,35.0,,1.0,0.0,2003.0,3000.0,2000.0,100.0
103,3,13.0,15,13,35.0,,1.0,0.0,1998.0,4500.0,2000.0,100.0
103,3,13.0,15,19,,,,,,,,
103,3,13.0,15,20,,,,,,,,
103,3,19.0,12,13,56.0,,4.0,0.0,2001.0,12000.0,5000.0,100.0
103,3,19.0,12,14,,,,,,,,
103,3,19.0,12,15,14.0,,1.0,0.0,1988.0,280000.0,1000000.0,100.0
103,3,19.0,12,15,56.0,,4.0,0.0,2000.0,8000.0,3000.0,100.0
103,3,23.0,12,21,56.0,,1.0,0.0,2002.0,800.0,300.0,100.0
103,3,23.0,12,21,58.0,,1.0,0.0,2002.0,3200.0,1000.0,100.0
103,3,23.0,12,21,14.0,,1.0,0.0,1996.0,100000.0,100000.0,100.0
103,3,23.0,12,22,,,,,,,,
103,3,23.0,12,23,25.0,,1.0,0.0,2002.0,1200.0,400.0,100.0
103,3,23.0,12,23,62.0,,1.0,0.0,2005.0,1500.0,600.0,100.0
103,4,3.0,8,13,,,,,,,,
103,4,3.0,8,14,,,,,,,,
103,4,3.0,8,19,,,,,,,,
103,4,5.0,19,13,8.0,,1.0,0.0,2003.0,2000.0,1800.0,100.0
103,4,5.0,19,14,,,,,,,,
103,4,5.0,19,20,14.0,,1.0,0.0,2003.0,10000.0,10000.0,100.0
103,4,11.0,28,13,,,,,,,,
103,4,11.0,28,14,,,,,,,,
103,4,11.0,28,19,,,,,,,,
103,5,7.0,18,13,,,,,,,,
103,5,7.0,18,14,,,,,,,,
103,5,7.0,18,15,20.0,,1.0,0.0,2000.0,25000.0,15000.0,100.0
103,5,11.0,7,13,14.0,,1.0,0.0,2000.0,400000.0,800000.0,100.0
103,5,11.0,7,14,,,,,,,,
103,5,11.0,7,15,,,,,,,,
103,5,15.0,16,13,,,,,,,,
103,5,15.0,16,15,,,,,,,,
103,5,15.0,16,19,,,,,,,,
103,5,19.0,2,13,14.0,,1.0,0.0,1999.0,300000.0,150000.0,100.0
103,5,19.0,2,13,20.0,,1.0,0.0,2000.0,24000.0,15000.0,100.0
103,5,19.0,2,14,47.0,,1.0,0.0,2002.0,9000.0,3000.0,100.0
103,5,19.0,2,14,20.0,,1.0,0.0,2002.0,35000.0,15000.0,100.0
103,5,19.0,2,14,47.0,,1.0,0.0,2005.0,13000.0,4000.0,100.0
103,5,19.0,2,15,,,,,,,,
103,5,24.0,27,13,,,,,,,,
