tinh,huyen,xa,diaban,hoso,total_hours_x,total_income_x,num_workers_x,hsize_x,hsize_y,avg_hours_per_worker_x,normalized_hours_x,total_hours_y,total_income_y,num_workers_y,avg_hours_per_worker_y,normalized_hours_y,avg_consumption_per_member
101,11,17.0,33,14,2112.0,52702.0,1,4.0,4,2112.0,0.5076923076923077,2112.0,52702.0,1,2112.0,0.5076923076923077,28138.85
101,11,21.0,9,14,2112.0,34981.0,1,4.0,4,2112.0,0.5076923076923077,2112.0,34981.0,1,2112.0,0.5076923076923077,11523.35
101,11,21.0,9,15,2112.0,58958.0,1,4.0,4,2112.0,0.5076923076923077,2112.0,58958.0,1,2112.0,0.5076923076923077,17090.0
101,13,1.0,13,13,416.0,4224.0,1,4.0,4,416.0,0.1,416.0,4224.0,1,416.0,0.1,32132.5
101,13,1.0,13,14,5424.0,87055.0,2,2.0,2,2712.0,0.6519230769230769,5424.0,87055.0,2,2712.0,0.6519230769230769,39227.85
101,13,5.0,19,20,4224.0,107171.0,2,4.0,4,2112.0,0.5076923076923077,4224.0,107171.0,2,2112.0,0.5076923076923077,28254.5
101,13,7.0,15,24,4608.0,135617.0,2,4.0,4,2304.0,0.5538461538461539,4608.0,135617.0,2,2304.0,0.5538461538461539,27554.575
101,13,13.0,10,15,4992.0,211942.0,2,6.0,6,2496.0,0.6,4992.0,211942.0,2,2496.0,0.6,26064.816666666666
101,15,3.0,3,15,4608.0,31224.0,2,2.0,2,2304.0,0.5538461538461539,4608.0,31224.0,2,2304.0,0.5538461538461539,11300.1
101,15,9.0,11,14,6184.0,15437.0,2,6.0,6,3092.0,0.7432692307692308,6184.0,15437.0,2,3092.0,0.7432692307692308,4303.333333333333
101,15,9.0,11,15,2996.0,13571.0,1,5.0,5,2996.0,0.7201923076923077,2996.0,13571.0,1,2996.0,0.7201923076923077,4815.24
101,15,19.0,13,13,6272.0,87244.0,3,6.0,6,2090.6666666666665,0.5025641025641026,6272.0,87244.0,3,2090.6666666666665,0.5025641025641026,8637.416666666666
101,15,19.0,13,20,3920.0,19424.0,2,5.0,5,1960.0,0.47115384615384615,3920.0,19424.0,2,1960.0,0.47115384615384615,5460.9800000000005
101,15,33.0,15,14,2600.0,15692.0,1,4.0,4,2600.0,0.625,2600.0,15692.0,1,2600.0,0.625,4477.825
101,15,33.0,15,24,1980.0,9770.0,1,1.0,1,1980.0,0.47596153846153844,1980.0,9770.0,1,1980.0,0.47596153846153844,5460.6
101,15,51.0,13,14,3024.0,23840.0,1,3.0,3,3024.0,0.7269230769230769,3024.0,23840.0,1,3024.0,0.7269230769230769,7087.600000000001
101,15,51.0,13,15,3840.0,51293.0,2,4.0,4,1920.0,0.46153846153846156,3840.0,51293.0,2,1920.0,0.46153846153846156,11538.275000000001
101,17,13.0,2,13,4320.0,19170.0,2,5.0,5,2160.0,0.5192307692307693,4320.0,19170.0,2,2160.0,0.5192307692307693,5280.76
101,17,13.0,2,14,1820.0,2587.0,1,4.0,4,1820.0,0.4375,1820.0,2587.0,1,1820.0,0.4375,4748.125
101,17,27.0,7,13,2760.0,4280.0,1,5.0,5,2760.0,0.6634615384615384,2760.0,4280.0,1,2760.0,0.6634615384615384,6432.0599999999995
